CMDLINE C:\ProgramData\anaconda3\python.exe inference_test_2.py
MEM 1.609375 1714396719.5528
MEM 16.781250 1714396719.6600
MEM 25.632812 1714396719.7670
MEM 32.757812 1714396719.8755
MEM 37.601562 1714396719.9820
MEM 43.359375 1714396720.0894
MEM 48.074219 1714396720.1983
MEM 68.589844 1714396720.3049
MEM 87.125000 1714396720.4118
MEM 105.171875 1714396720.5189
MEM 120.203125 1714396720.6255
MEM 137.253906 1714396720.7350
MEM 145.214844 1714396720.8426
MEM 149.789062 1714396720.9502
MEM 152.890625 1714396721.0573
MEM 161.082031 1714396721.1659
MEM 166.984375 1714396721.2726
MEM 176.417969 1714396721.3800
MEM 183.027344 1714396721.4880
MEM 187.859375 1714396721.5944
MEM 194.277344 1714396721.7014
MEM 195.285156 1714396721.8095
MEM 195.773438 1714396721.9174
MEM 201.996094 1714396722.0255
MEM 206.789062 1714396722.1329
MEM 209.039062 1714396722.2409
MEM 212.566406 1714396722.3489
MEM 221.675781 1714396722.4561
MEM 224.886719 1714396722.5646
MEM 229.949219 1714396722.6711
MEM 234.695312 1714396722.7783
MEM 266.472656 1714396722.8858
MEM 271.878906 1714396722.9967
MEM 281.496094 1714396723.1046
MEM 280.179688 1714396723.2126
MEM 283.441406 1714396723.3196
MEM 284.414062 1714396723.4266
MEM 285.542969 1714396723.5347
MEM 285.546875 1714396723.6410
MEM 285.679688 1714396723.7479
MEM 287.156250 1714396723.8551
MEM 288.593750 1714396723.9636
MEM 290.847656 1714396724.0711
MEM 291.585938 1714396724.1780
MEM 292.820312 1714396724.2856
MEM 294.863281 1714396724.3926
MEM 296.441406 1714396724.5015
MEM 297.121094 1714396724.6086
MEM 300.093750 1714396724.7206
MEM 301.398438 1714396724.8273
MEM 302.175781 1714396724.9345
MEM 303.578125 1714396725.0415
MEM 304.679688 1714396725.1496
MEM 305.343750 1714396725.2565
MEM 305.492188 1714396725.3636
MEM 305.882812 1714396725.4706
MEM 307.894531 1714396725.5775
MEM 318.035156 1714396725.6860
MEM 319.562500 1714396725.7931
MEM 320.351562 1714396725.9002
MEM 321.058594 1714396726.0073
MEM 321.781250 1714396726.1143
MEM 322.660156 1714396726.2213
MEM 323.093750 1714396726.3299
MEM 324.191406 1714396726.4377
MEM 325.300781 1714396726.5495
MEM 325.300781 1714396726.6584
MEM 325.679688 1714396726.7707
MEM 325.832031 1714396726.8806
MEM 325.902344 1714396726.9970
MEM 325.937500 1714396727.1094
MEM 327.007812 1714396727.2198
MEM 328.265625 1714396727.3360
MEM 329.578125 1714396727.4521
MEM 330.789062 1714396727.5630
MEM 332.039062 1714396727.6752
MEM 333.015625 1714396727.7856
MEM 323.554688 1714396727.8932
MEM 324.585938 1714396728.0009
MEM 325.847656 1714396728.1102
MEM 329.910156 1714396728.2182
MEM 330.734375 1714396728.3271
MEM 331.765625 1714396728.4362
MEM 332.859375 1714396728.5451
MEM 333.773438 1714396728.6532
MEM 334.718750 1714396728.7624
MEM 335.433594 1714396728.8727
MEM 341.574219 1714396728.9848
MEM 348.832031 1714396729.0931
MEM 349.050781 1714396729.2011
MEM 349.500000 1714396729.3097
MEM 350.222656 1714396729.4178
MEM 350.996094 1714396729.5272
MEM 351.472656 1714396729.6352
MEM 353.886719 1714396729.7448
MEM 354.667969 1714396729.8620
MEM 355.300781 1714396729.9712
MEM 356.257812 1714396730.0846
MEM 357.167969 1714396730.1937
MEM 357.964844 1714396730.3024
MEM 357.964844 1714396730.4176
MEM 358.738281 1714396730.5247
MEM 359.941406 1714396730.6335
MEM 360.937500 1714396730.7425
MEM 362.625000 1714396730.8517
MEM 363.660156 1714396730.9625
MEM 364.925781 1714396731.0734
MEM 366.019531 1714396731.1815
MEM 367.203125 1714396731.2966
MEM 367.222656 1714396731.4105
MEM 368.605469 1714396731.5195
MEM 368.617188 1714396731.6277
MEM 368.960938 1714396731.7367
MEM 369.308594 1714396731.8457
MEM 369.328125 1714396731.9563
MEM 369.644531 1714396732.0654
MEM 370.890625 1714396732.1737
MEM 372.074219 1714396732.2838
MEM 372.832031 1714396732.3925
MEM 373.558594 1714396732.5057
MEM 374.445312 1714396732.6153
MEM 375.246094 1714396732.7337
MEM 375.984375 1714396732.8506
MEM 365.035156 1714396732.9581
MEM 365.902344 1714396733.0764
MEM 367.046875 1714396733.1944
MEM 367.988281 1714396733.3064
MEM 368.628906 1714396733.4256
MEM 368.660156 1714396733.5401
MEM 369.222656 1714396733.6539
MEM 372.328125 1714396733.7628
MEM 373.960938 1714396733.8719
MEM 375.378906 1714396733.9797
MEM 377.113281 1714396734.0863
MEM 378.746094 1714396734.1941
MEM 380.382812 1714396734.3007
MEM 382.402344 1714396734.4087
MEM 384.582031 1714396734.5155
MEM 381.355469 1714396734.6246
MEM 382.152344 1714396734.7337
MEM 381.859375 1714396734.8421
MEM 382.359375 1714396734.9515
MEM 382.578125 1714396735.0610
MEM 382.523438 1714396735.1707
MEM 382.894531 1714396735.2799
MEM 383.144531 1714396735.3869
MEM 384.855469 1714396735.4939
MEM 386.753906 1714396735.6009
MEM 388.125000 1714396735.7087
MEM 389.367188 1714396735.8157
MEM 390.722656 1714396735.9228
MEM 391.671875 1714396736.0294
MEM 393.144531 1714396736.1367
MEM 394.902344 1714396736.2438
MEM 396.679688 1714396736.3516
MEM 398.003906 1714396736.4586
MEM 399.894531 1714396736.5651
MEM 401.687500 1714396736.6717
MEM 402.480469 1714396736.7800
MEM 402.753906 1714396736.8879
MEM 402.753906 1714396736.9954
MEM 402.878906 1714396737.1034
MEM 403.035156 1714396737.2104
MEM 403.050781 1714396737.3173
MEM 404.078125 1714396737.4243
MEM 405.527344 1714396737.5310
MEM 406.828125 1714396737.6383
MEM 408.738281 1714396737.7453
