CMDLINE C:\ProgramData\anaconda3\python.exe conditionalserviceavailability_32_simulator.py
MEM 1.617188 1715190685.3898
MEM 17.761719 1715190685.4901
MEM 26.832031 1715190685.5912
MEM 34.390625 1715190685.6922
MEM 39.750000 1715190685.7929
MEM 46.722656 1715190685.8931
MEM 49.488281 1715190685.9935
MEM 68.187500 1715190686.0941
MEM 88.378906 1715190686.1948
MEM 101.289062 1715190686.2951
MEM 118.578125 1715190686.3957
MEM 134.070312 1715190686.4969
MEM 143.976562 1715190686.5979
MEM 150.343750 1715190686.6989
MEM 153.636719 1715190686.7999
MEM 159.332031 1715190686.9009
MEM 167.281250 1715190687.0019
MEM 177.019531 1715190687.1029
MEM 184.074219 1715190687.2039
MEM 190.980469 1715190687.3049
MEM 194.746094 1715190687.4059
MEM 198.207031 1715190687.5069
MEM 198.875000 1715190687.6074
MEM 203.691406 1715190687.7084
MEM 209.351562 1715190687.8094
MEM 212.527344 1715190687.9104
MEM 218.140625 1715190688.0110
MEM 224.421875 1715190688.1121
MEM 228.937500 1715190688.2132
MEM 234.140625 1715190688.3142
MEM 250.015625 1715190688.4151
MEM 273.832031 1715190688.5157
MEM 279.550781 1715190688.6171
MEM 281.941406 1715190688.7179
MEM 284.730469 1715190688.8190
MEM 288.539062 1715190688.9200
MEM 288.539062 1715190689.0211
MEM 289.464844 1715190689.1221
MEM 290.449219 1715190689.2231
MEM 291.781250 1715190689.3240
MEM 291.886719 1715190689.4251
MEM 292.019531 1715190689.5262
MEM 292.105469 1715190689.6272
MEM 292.191406 1715190689.7283
MEM 292.289062 1715190689.8293
MEM 292.429688 1715190689.9302
MEM 292.472656 1715190690.0306
MEM 292.574219 1715190690.1317
MEM 292.667969 1715190690.2327
MEM 292.765625 1715190690.3337
MEM 293.097656 1715190690.4347
MEM 295.167969 1715190690.5357
MEM 297.859375 1715190690.6367
MEM 301.093750 1715190690.7377
MEM 303.722656 1715190690.8388
MEM 306.421875 1715190690.9398
MEM 318.093750 1715190691.0404
MEM 305.023438 1715190691.1409
MEM 307.746094 1715190691.2415
MEM 308.601562 1715190691.3425
MEM 309.257812 1715190691.4431
MEM 309.320312 1715190691.5437
